section,file,part,staff,notes,mean pitch,mean fret,max fret,range (midi),outcome
chorales,BWV_0601.gp5,Guitar II,Guitar II,192,63.0,3.0,10,42-74,left as it is - already sits well
chorales,BWV_0601.gp5,Guitar III,Guitar IV,175,60.7,3.0,12,45-76,left as it is - already sits well
chorales,BWV_0601.gp5,Guitar IV,Guitar I,14,65.9,3.3,7,61-71,left as it is - already sits well
chorales,BWV_0601.gp5,Bass,Bass,175,39.2,2.4,6,28-49,left as it is - already sits well
chorales,BWV_0601_Neumeister.gp5,Guitar I,Guitar I,77,71.3,7.6,12,66-76,left as it is - already sits well
chorales,BWV_0601_Neumeister.gp5,Guitar II,Guitar II,229,65.5,2.9,9,57-73,left as it is - already sits well
chorales,BWV_0601_Neumeister.gp5,Guitar III,Guitar III,253,56.3,1.8,4,42-66,left as it is - already sits well
chorales,BWV_0601_Neumeister.gp5,Bass,Bass,175,39.2,2.4,6,28-49,left as it is - already sits well
chorales,BWV_0602.gp5,Guitar I,Guitar I,59,66.4,3.8,12,57-76,left as it is - already sits well
chorales,BWV_0602.gp5,Guitar II,Guitar III,102,57.6,2.2,12,48-76,left as it is - already sits well
chorales,BWV_0602.gp5,Guitar III,Guitar II,96,64.3,2.8,8,57-72,left as it is - already sits well
chorales,BWV_0602.gp5,Bass,Bass,95,36.6,1.4,4,28-45,left as it is - already sits well
chorales,BWV_0603.gp5,Guitar I,Guitar I,38,67.9,3.9,8,65-72,left as it is - already sits well
chorales,BWV_0603.gp5,Guitar II,Guitar II,137,60.5,2.3,5,53-67,left as it is - already sits well
chorales,BWV_0603.gp5,Guitar III,Guitar III,143,58.5,2.1,6,45-68,left as it is - already sits well
chorales,BWV_0603.gp5,Guitar IV,Guitar IV,42,51.7,1.0,4,41-59,left as it is - already sits well
chorales,BWV_0603.gp5,Bass,Bass,80,39.2,1.9,7,29-50,left as it is - already sits well
chorales,BWV_0604.gp5,Guitar I,Guitar I,55,69.3,5.9,12,62-76,left as it is - already sits well
chorales,BWV_0604.gp5,Guitar II,Guitar II,76,62.8,1.9,7,54-71,left as it is - already sits well
chorales,BWV_0604.gp5,Guitar III,Guitar III,82,56.9,1.4,4,48-65,left as it is - already sits well
chorales,BWV_0604.gp5,Bass,Bass,93,47.1,6.5,12,36-55,left as it is - already sits well
chorales,BWV_0605.gp5,Guitar I,Guitar I,124,64.0,3.2,12,52-76,left as it is - already sits well
chorales,BWV_0605.gp5,Guitar II,Guitar IV,208,59.0,1.3,5,50-69,left as it is - already sits well
chorales,BWV_0605.gp5,Guitar III,Guitar II,203,60.8,2.0,8,47-72,left as it is - already sits well
chorales,BWV_0605.gp5,Guitar IV,Guitar III,35,60.7,1.6,7,55-71,left as it is - already sits well
chorales,BWV_0605.gp5,Bass,Bass,143,46.8,4.8,12,36-55,left as it is - already sits well
chorales,BWV_0606.gp5,Guitar I,Guitar II,81,65.1,3.5,10,50-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0606.gp5,Guitar II,Guitar I,122,72.6,9.4,19,50-83,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0606.gp5,Guitar III,Guitar III,83,64.7,3.5,10,54-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0606.gp5,Bass,Bass,62,38.2,1.8,6,28-47,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0607.gp5,Guitar I,Guitar I,39,70.4,6.9,13,67-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0607.gp5,Guitar II,Guitar II,108,65.0,3.8,10,57-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0607.gp5,Guitar III,Guitar III,359,56.0,2.3,15,41-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0607.gp5,Bass,Bass,91,41.6,3.3,12,31-55,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0608.gp5,Guitar I,Guitar I,126,72.8,9.0,17,66-81,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0608.gp5,Guitar II,Guitar II,423,66.3,3.9,12,50-76,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0608.gp5,Guitar III,Guitar III,77,60.0,1.5,4,54-66,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0608.gp5,Bass,Bass,431,41.7,2.7,9,28-52,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0609.gp5,Guitar I,Guitar I,48,71.9,8.1,12,67-76,left as it is - already sits well
chorales,BWV_0609.gp5,Guitar II,Guitar II,133,65.9,3.4,10,55-74,left as it is - already sits well
chorales,BWV_0609.gp5,Guitar III,Guitar III,126,58.2,1.4,7,47-71,left as it is - already sits well
chorales,BWV_0609.gp5,Bass,Bass,69,38.4,1.9,7,28-50,left as it is - already sits well
chorales,BWV_0610.gp5,Guitar I,Guitar I,58,68.0,5.2,11,60-75,left as it is - already sits well
